Date,CSource,State,Month,State_Code,State_Abbr,CSrc_Simplified,CSrc_Freq
7-Mar-18,facebook,california ,March,6,CA,facebook,1796
5-Mar-18,bing,texas ,March,48,TX,bing,3143
9-Feb-18,aol,texas ,February,48,TX,aol,3440
17-Mar-18,bing,mississippi ,March,28,MS,bing,3143
31-Jan-18,google_display_network,minnesota ,January,27,MN,google,34708
21-Mar-18,unknown,minnesota ,March,27,MN,unknown,10982
26-Mar-18,www.google.com,florida ,March,12,FL,google,34708
28-Jan-18,google_display_network,florida ,January,12,FL,google,34708
18-Jan-18,unknown,virginia ,January,51,VA,unknown,10982
12-Feb-18,unknown,washington ,February,53,WA,unknown,10982
25-Jan-18,google_display_network,florida ,January,12,FL,google,34708
15-Feb-18,creditcards.lendingtree.com,ohio ,February,39,OH,Lending Tree/Partners,332
3-Jan-18,1,illinois ,January,17,IL,other,13363
18-Jan-18,www.google.com,pennsylvania ,January,42,PA,google,34708
3-Feb-18,google_display_network,california ,February,6,CA,google,34708
12-Feb-18,facebook,tennessee ,February,47,TN,facebook,1796
20-Mar-18,email,ohio ,March,39,OH,email,4952
25-Jan-18,google_display_network,california ,January,6,CA,google,34708
15-Feb-18,google,california ,February,6,CA,google,34708
24-Feb-18,aol,massachusetts ,February,25,MA,aol,3440
13-Feb-18,www.google.com,texas ,February,48,TX,google,34708
5-Mar-18,google,virginia ,March,51,VA,google,34708
19-Feb-18,27,texas ,February,48,TX,other,13363
30-Jan-18,31,north carolina ,January,37,NC,other,13363
4-Mar-18,google,north carolina ,March,37,NC,google,34708
6-Jan-18,simpletuitionturndown,missouri ,January,29,MO,other,13363
27-Mar-18,google,kentucky ,March,21,KY,google,34708
19-Jan-18,google,florida ,January,12,FL,google,34708
4-Jan-18,r.search.yahoo.com,texas ,January,48,TX,yahoo,875
21-Jan-18,1,florida ,January,12,FL,other,13363
23-Jan-18,google,new jersey ,January,34,NJ,google,34708
22-Mar-18,google_display_network,florida ,March,12,FL,google,34708
29-Jan-18,google_display_network,massachusetts ,January,25,MA,google,34708
7-Jan-18,google_display_network,texas ,January,48,TX,google,34708
19-Feb-18,unknown,utah ,February,49,UT,unknown,10982
20-Jan-18,google_display_network,california ,January,6,CA,google,34708
22-Mar-18,email,new york ,March,36,NY,email,4952
30-Jan-18,1,alabama ,January,1,AL,other,13363
27-Feb-18,google_display_network,illinois ,February,17,IL,google,34708
11-Jan-18,31,mississippi ,January,28,MS,other,13363
30-Jan-18,facebook,texas ,January,48,TX,facebook,1796
30-Mar-18,google,california ,March,6,CA,google,34708
21-Mar-18,yahoosearchrtg,pennsylvania ,March,42,PA,yahoo,875
26-Feb-18,taboola,north carolina ,February,37,NC,other,13363
14-Feb-18,google,georgia ,February,13,GA,google,34708
21-Mar-18,Realtor_com,california ,March,6,CA,realtor.com,817
20-Mar-18,google,florida ,March,12,FL,google,34708
10-Jan-18,nasdaq,texas ,January,48,TX,nasdaq,143
25-Feb-18,google,colorado ,February,8,CO,google,34708
14-Mar-18,google_display_network,arkansas ,March,5,AR,google,34708
22-Mar-18,1,california ,March,6,CA,other,13363
21-Jan-18,google_display_network,new york ,January,36,NY,google,34708
10-Mar-18,google_display_network,louisiana ,March,22,LA,google,34708
26-Mar-18,google_display_network,tennessee ,March,47,TN,google,34708
14-Jan-18,google_display_network,new jersey ,January,34,NJ,google,34708
22-Feb-18,email,ohio ,February,39,OH,email,4952
9-Jan-18,{source},florida ,January,12,FL,other,13363
21-Mar-18,google,tennessee ,March,47,TN,google,34708
24-Jan-18,google_display_network,florida ,January,12,FL,google,34708
1-Jan-18,unknown,florida ,January,12,FL,unknown,10982
19-Jan-18,1,tennessee ,January,47,TN,other,13363
1-Mar-18,email,georgia ,March,13,GA,email,4952
28-Mar-18,google_display_network,pennsylvania ,March,42,PA,google,34708
9-Jan-18,unknown,new york ,January,36,NY,unknown,10982
22-Jan-18,google,new york ,January,36,NY,google,34708
29-Mar-18,email,texas ,March,48,TX,email,4952
6-Feb-18,aol,minnesota ,February,27,MN,aol,3440
20-Feb-18,unknown,virginia ,February,51,VA,unknown,10982
16-Feb-18,www.google.com,wyoming ,February,56,WY,google,34708
16-Feb-18,facebook,north carolina ,February,37,NC,facebook,1796
20-Feb-18,google,connecticut ,February,9,CT,google,34708
22-Jan-18,google_display_network,new hampshire ,January,33,NH,google,34708
19-Feb-18,email,texas ,February,48,TX,email,4952
22-Feb-18,unknown,indiana ,February,18,IN,unknown,10982
29-Jan-18,google,tennessee ,January,47,TN,google,34708
21-Mar-18,unknown,new mexico ,March,35,NM,unknown,10982
26-Feb-18,yahoosearchrtg,texas ,February,48,TX,yahoo,875
4-Mar-18,unknown,virginia ,March,51,VA,unknown,10982
16-Jan-18,aol,texas ,January,48,TX,aol,3440
4-Jan-18,google_display_network,georgia ,January,13,GA,google,34708
19-Feb-18,unknown,virginia ,February,51,VA,unknown,10982
13-Feb-18,google,ohio ,February,39,OH,google,34708
2-Jan-18,unknown,california ,January,6,CA,unknown,10982
22-Mar-18,unknown,california ,March,6,CA,unknown,10982
19-Mar-18,google,colorado ,March,8,CO,google,34708
29-Mar-18,google,florida ,March,12,FL,google,34708
20-Feb-18,unknown,virginia ,February,51,VA,unknown,10982
22-Mar-18,google_display_network,west virginia ,March,54,WV,google,34708
20-Mar-18,google_display_network,kansas ,March,20,KS,google,34708
31-Jan-18,google_display_network,california ,January,6,CA,google,34708
21-Feb-18,google_display_network,new york ,February,36,NY,google,34708
16-Jan-18,google_display_network,indiana ,January,18,IN,google,34708
1-Mar-18,aol,florida ,March,12,FL,aol,3440
2-Mar-18,1,arkansas ,March,5,AR,other,13363
23-Mar-18,google,nevada ,March,32,NV,google,34708
15-Feb-18,unknown,georgia ,February,13,GA,unknown,10982
13-Jan-18,criteo,ohio ,January,39,OH,criteo,1599
2-Jan-18,email,massachusetts ,January,25,MA,email,4952
20-Mar-18,google_display_network,georgia ,March,13,GA,google,34708
29-Jan-18,bing,california ,January,6,CA,bing,3143
2-Jan-18,aol,ohio ,January,39,OH,aol,3440
1-Mar-18,unknown,virginia ,March,51,VA,unknown,10982
2-Mar-18,unknown,virginia ,March,51,VA,unknown,10982
10-Jan-18,taboola,ohio ,January,39,OH,other,13363
28-Jan-18,unknown,virginia ,January,51,VA,unknown,10982
15-Feb-18,consumers-advocate,alabama ,February,1,AL,other,13363
13-Mar-18,google,florida ,March,12,FL,google,34708
30-Jan-18,unknown,california ,January,6,CA,unknown,10982
30-Mar-18,google_display_network,florida ,March,12,FL,google,34708
10-Feb-18,1,florida ,February,12,FL,other,13363
22-Jan-18,unknown,florida ,January,12,FL,unknown,10982
19-Feb-18,google_display_network,missouri ,February,29,MO,google,34708
6-Feb-18,email,california ,February,6,CA,email,4952
26-Jan-18,1,california ,January,6,CA,other,13363
10-Feb-18,google,arizona ,February,4,AZ,google,34708
23-Jan-18,31,alabama ,January,1,AL,other,13363
15-Mar-18,google_display_network,massachusetts ,March,25,MA,google,34708
10-Jan-18,google,ohio ,January,39,OH,google,34708
16-Mar-18,unknown,pennsylvania ,March,42,PA,unknown,10982
23-Feb-18,google,new jersey ,February,34,NJ,google,34708
2-Feb-18,google_display_network,florida ,February,12,FL,google,34708
16-Mar-18,unknown,texas ,March,48,TX,unknown,10982
26-Feb-18,google_display_network,illinois ,February,17,IL,google,34708
19-Feb-18,google,colorado ,February,8,CO,google,34708
12-Feb-18,aol,illinois ,February,17,IL,aol,3440
2-Feb-18,www.directli.org,washington ,February,53,WA,other,13363
26-Mar-18,facebook,arizona ,March,4,AZ,facebook,1796
1-Mar-18,google,tennessee ,March,47,TN,google,34708
20-Feb-18,unknown,virginia ,February,51,VA,unknown,10982
4-Jan-18,criteo,new mexico ,January,35,NM,criteo,1599
13-Mar-18,google_display_network,washington ,March,53,WA,google,34708
15-Jan-18,unknown,texas ,January,48,TX,unknown,10982
4-Feb-18,1,indiana ,February,18,IN,other,13363
15-Mar-18,www.google.com,new jersey ,March,34,NJ,google,34708
1-Feb-18,email,minnesota ,February,27,MN,email,4952
15-Jan-18,www.google.com,west virginia ,January,54,WV,google,34708
18-Jan-18,1,florida ,January,12,FL,other,13363
23-Mar-18,google_display_network,new mexico ,March,35,NM,google,34708
5-Jan-18,27,california ,January,6,CA,other,13363
4-Jan-18,google_display_network,ohio ,January,39,OH,google,34708
18-Jan-18,google,washington ,January,53,WA,google,34708
30-Jan-18,google,oregon ,January,41,OR,google,34708
