,Date,Visit Number,Product,Visitor_ID,CSource,State,Day,Month,Year,State Code
0,"January 1, 2018",1,unknown,7732198244151778867_4134450918576237336,outbrain,texas ,January,1,2018,51
1,"January 1, 2018",4,Refinance,2431284746265101166_8567539867164911934,google_display_network,virginia ,January,1,2018,51
2,"January 1, 2018",2,Refinance,5951927093440429627_8402229250223050888,google_display_network,florida ,January,1,2018,51
3,"January 1, 2018",1,Refinance,9095128932057308643_5744753714959771864,cnn_com,ohio ,January,1,2018,51
4,"January 1, 2018",1,Refinance,7144494725347131737_7936627049048254284,google_display_network,california ,January,1,2018,51
5,"January 1, 2018",1,unknown,3840395548288420783_2563166581193760536,criteo,oregon ,January,1,2018,51
6,"January 1, 2018",5,Refinance,5951927093440429627_8402229250223050888,google_display_network,florida ,January,1,2018,51
7,"January 1, 2018",1,Refinance,9193455551599519817_2133625214278931623,taboola,maine ,January,1,2018,51
8,"January 1, 2018",3,Refinance,4427865552475720477_747171176657803548,google_display_network,california ,January,1,2018,51
9,"January 1, 2018",1,Refinance,1114696381134181432_6527712537278417460,google_display_network,new hampshire ,January,1,2018,51
10,"January 1, 2018",1,Refinance,9117345142982298598_3577160519644552955,google_display_network,pennsylvania ,January,1,2018,51
11,"January 1, 2018",1,unknown,3489213251580014308_7398156064548572149,google,connecticut ,January,1,2018,51
12,"January 1, 2018",1,unknown,1045083400990673712_8865219555642043783,unknown,wisconsin ,January,1,2018,51
13,"January 1, 2018",1,unknown,104959404389931813_7664988777389669386,unknown,illinois ,January,1,2018,51
14,"January 1, 2018",1,unknown,1187440273274509770_6264289359886443009,unknown,north carolina ,January,1,2018,51
15,"January 1, 2018",1,unknown,1259023831_2274431552,unknown,kansas ,January,1,2018,51
16,"January 1, 2018",1,unknown,1422243278321408217_1794656872289764929,unknown,california ,January,1,2018,51
17,"January 1, 2018",1,unknown,1470397279149965160_4056554722587805186,unknown,florida ,January,1,2018,51
18,"January 1, 2018",1,unknown,1529432820598411557_4243204992246694562,unknown,pennsylvania ,January,1,2018,51
19,"January 1, 2018",1,unknown,1709893692233310714_6128893313841640312,unknown,california ,January,1,2018,51
20,"January 1, 2018",1,unknown,1745541608653249458_7227558626993931477,unknown,connecticut ,January,1,2018,51
21,"January 1, 2018",1,unknown,1861684549292256734_6435018148321770551,unknown,illinois ,January,1,2018,51
22,"January 1, 2018",1,unknown,2169372723960481604_258221103072382442,unknown,ohio ,January,1,2018,51
23,"January 1, 2018",1,unknown,2176559230035865039_6028598558958540714,unknown,florida ,January,1,2018,51
24,"January 1, 2018",1,unknown,2187762442256815536_577073384131518846,unknown,illinois ,January,1,2018,51
25,"January 1, 2018",1,unknown,2208096828633599876_2524339848122002493,unknown,tennessee ,January,1,2018,51
26,"January 1, 2018",1,unknown,2385508582254797716_2877051979529532200,unknown,hawaii ,January,1,2018,51
27,"January 1, 2018",1,unknown,2390655788272990649_62550287593796688,unknown,texas ,January,1,2018,51
28,"January 1, 2018",1,unknown,265569730221593432_960506058289255664,unknown,florida ,January,1,2018,51
29,"January 1, 2018",1,unknown,2666065567448156575_1758368723776643525,unknown,texas ,January,1,2018,51
30,"January 1, 2018",1,unknown,2923231590883505603_8899135819102243365,unknown,new jersey ,January,1,2018,51
31,"January 1, 2018",1,unknown,3000224804852099826_2177060133223327021,unknown,north carolina ,January,1,2018,51
32,"January 1, 2018",1,unknown,3165487375400202017_761891474975824315,unknown,california ,January,1,2018,51
33,"January 1, 2018",1,unknown,3167820724531281132_50524480124881814,unknown,virginia ,January,1,2018,51
34,"January 1, 2018",1,unknown,3234605873742365234_7486117805911635592,unknown,district of columbia ,January,1,2018,51
36,"January 1, 2018",1,unknown,344370418946117495_4397058832620276011,unknown,montana ,January,1,2018,51
37,"January 1, 2018",1,unknown,3686966202067268599_8057013726655279784,unknown,california ,January,1,2018,51
38,"January 1, 2018",1,unknown,370934729801164125_5181521961172349351,unknown,massachusetts ,January,1,2018,51
39,"January 1, 2018",1,unknown,3789034827659262295_1761383560668772016,unknown,california ,January,1,2018,51
40,"January 1, 2018",1,unknown,3821085286657308349_4735171794810263958,unknown,california ,January,1,2018,51
42,"January 1, 2018",1,unknown,4103762237795408857_217981441110970332,unknown,west virginia ,January,1,2018,51
44,"January 1, 2018",1,unknown,4232769485588208258_6516467579293803546,unknown,texas ,January,1,2018,51
45,"January 1, 2018",1,unknown,4280222067824961263_7777833577988918079,unknown,oregon ,January,1,2018,51
47,"January 1, 2018",1,unknown,4502819517233681142_5134315128748823004,unknown,ohio ,January,1,2018,51
48,"January 1, 2018",1,unknown,4563701066763645844_3855314630883734615,unknown,georgia ,January,1,2018,51
49,"January 1, 2018",1,unknown,4572943070058004035_551532170084734417,unknown,virginia ,January,1,2018,51
50,"January 1, 2018",1,unknown,4717380954048933229_5246638227075190165,unknown,california ,January,1,2018,51
51,"January 1, 2018",1,unknown,4949472182770255485_5229460009957259311,unknown,new york ,January,1,2018,51
52,"January 1, 2018",1,unknown,5096521400643491548_2289858304222648128,unknown,arkansas ,January,1,2018,51
54,"January 1, 2018",1,unknown,5249132989113071390_2393233365023249875,unknown,california ,January,1,2018,51
55,"January 1, 2018",1,unknown,5301437436609190077_5419584912290620900,unknown,georgia ,January,1,2018,51
56,"January 1, 2018",1,unknown,552783653895408712_4215811161147128529,unknown,pennsylvania ,January,1,2018,51
57,"January 1, 2018",1,unknown,5569301588781429043_2391960064338781076,unknown,colorado ,January,1,2018,51
58,"January 1, 2018",1,unknown,5576976309891762181_476633110217503197,unknown,north carolina ,January,1,2018,51
59,"January 1, 2018",1,unknown,5634998701346700179_5523771471010882250,unknown,florida ,January,1,2018,51
